text,label
Hola Juan, ¿nos vemos mañana para el almuerzo?,ham
Gana dinero rápido desde casa, haz clic aquí para más información,spam
Factura adjunta de la compra realizada el 12/04/2025,ham
¡Oferta exclusiva! Compra uno y llévate otro gratis,spam
Recordatorio: tu cita médica es el próximo jueves a las 10:00,ham
Este es tu último aviso: actualiza tu cuenta o perderás acceso,spam
Reunión de equipo reprogramada al viernes,ham
Felicitaciones, has sido seleccionado para un premio,spam
Entrega de paquete confirmada, revisa el número de seguimiento,ham
¡Aprovecha esta oportunidad única de inversión!,spam
Recordatorio: tu cita médica es el próximo jueves a las 10:00,ham
Este es tu último aviso: actualiza tu cuenta o perderás acceso,spam
Reunión de equipo reprogramada al viernes,ham
Felicitaciones, has sido seleccionado para un premio,spam
Entrega de paquete confirmada, revisa el número de seguimiento,ham
¡Aprovecha esta oportunidad única de inversión!,spam
